What does SQL stand for?;Structured Question Language;Strong Question Language;Structured Query Language;;Keine der genannten Antworten.;3;;
Which SQL statement is used to extract data from a database?;OPEN;GET;EXTRACT;SELECT;Keine der genannten Antworten.;4;;
Which SQL statement is used to update data in a database?;UPDATE;MODIFY;SAVE AS;SAVE;Keine der genannten Antworten.;1;;
Which SQL statement is used to delete data from a database?;DELETE;REMOVE;COLLAPSE;;Keine der genannten Antworten.;1;;
Which SQL statement is used to insert new data in a database?;ADD NEW;INSERT NEW;INSERT INTO;ADD RECORD;Keine der genannten Antworten.;3;;
How do you select a column named FirstName from a table named Persons?;SELECT Persons.FirstName;EXTRACT FirstName FROM Persons;SELECT FirstName FROM Persons;;Keine der genannten Antworten.;3;;
How do you select all the columns from a table named Persons?;SELECT [all] FROM Persons;SELECT * FROM Persons;SELECT *.Persons;SELECT Persons;Keine der genannten Antworten.;2;;
How do you select all the records from a table named Persons where the value of the column FirstName is Peter?;SELECT [all] FROM Persons WHERE FirstName LIKE 'Peter';SELECT * FROM Persons WHERE FirstName<>'Peter';SELECT [all] FROM Persons WHERE FirstName='Peter';SELECT * FROM Persons WHERE FirstName='Peter';Keine der genannten Antworten.;4;;
How do you select all the records from a table named Persons where the value of the column FirstName starts with an a?;SELECT * FROM Persons WHERE FirstName LIKE 'a%';SELECT * FROM Persons WHERE FirstName='a';SELECT * FROM Persons WHERE FirstName LIKE '%a';SELECT * FROM Persons WHERE FirstName='%a%';Keine der genannten Antworten.;1;;
The OR operator displays a record if ANY conditions listed are true. The AND operator displays a record if ALL of the conditions listed are true.;True;False;;;Keine der genannten Antworten.;1;;
How do you select all the records from a table named Persons where the FirstName is Peter and the LastName is Jackson?;SELECT * FROM Persons WHERE FirstName<>'Peter' AND LastName<>'Jackson';SELECT FirstName='Peter',LastName='Jackson' FROM Persons;SELECT * FROM Persons WHERE FirstName='Peter' AND LastName='Jackson';;Keine der genannten Antworten.;3;;
How do you select all the records from a table named Persons where the LastName is alphabetically between (and including) Hansen and Pettersen?;SELECT LastName>'Hansen' AND LastName<'Pettersen' FROM Persons;SELECT * FROM Persons WHERE LastName BETWEEN 'Hansen' AND 'Pettersen';SELECT * FROM Persons WHERE LastName>'Hansen' AND LastName<'Pettersen';;Keine der genannten Antworten.;2;;
Which SQL statement is used to return only different values?;SELECT DIFFERENT;SELECT DISTINCT;SELECT UNIQUE;;Keine der genannten Antworten.;2;;
Which SQL keyword is used to sort the result-set?;SORT;ORDER BY;SORT BY;ORDER;Keine der genannten Antworten.;2;;
How can you return all the records from a table named Persons sorted descending by FirstName?;SELECT * FROM Persons SORT BY 'FirstName' DESC;SELECT * FROM Persons ORDER FirstName DESC;SELECT * FROM Persons SORT 'FirstName' DESC;SELECT * FROM Persons ORDER BY FirstName DESC;Keine der genannten Antworten.;4;;
How can you insert a new record into the Persons table?;INSERT VALUES ('Jimmy','Jackson') INTO Persons;INSERT INTO Persons VALUES ('Jimmy','Jackson');INSERT ('Jimmy','Jackson') INTO Persons;;Keine der genannten Antworten.;2;;
How can you insert Olsen as the LastName in the Persons table?;INSERT ('Olsen') INTO Persons (LastName);INSERT INTO Persons (LastName) VALUES ('Olsen');INSERT INTO Persons ('Olsen') INTO LastName;;Keine der genannten Antworten.;2;;
How can you change Hansen into Nilsen in the LastName column in the Persons table?;UPDATE Persons SET LastName='Nilsen' WHERE LastName='Hansen';MODIFY Persons SET LastName='Nilsen' WHERE LastName='Hansen';UPDATE Persons SET LastName='Hansen' WHERE LastName='Nilsen';MODIFY Persons SET LastName='Hansen' WHERE LastName='Nilsen';Keine der genannten Antworten.;1;;
How can you delete the records where the FirstName is Peter in the Persons Table?;DELETE FirstName='Peter' FROM Persons;DELETE ROW FirstName='Peter' FROM Persons;DELETE FROM Persons WHERE FirstName='Peter';;Keine der genannten Antworten.;3;;
How can you return the number of records in the "Persons" table?;SELECT COUNT(*) FROM Persons;SELECT LEN(*) FROM Persons;SELECT COLUMNS(*) FROM Persons;SELECT NO(*) FROM Persons;Keine der genannten Antworten.;1;;
What is the most common type of join?;INNER JOIN;JOINED;JOINED TABLE;INSIDE JOIN;Keine der genannten Antworten.;1;;
Which operator is used to select values within a range?;BETWEEN;RANGE;WITHIN;;Keine der genannten Antworten.;1;;
The NOT NULL constraint enforces a column to not accept empty values.;True;False;;;Keine der genannten Antworten.;1;;
Which operator is used to search for a specified pattern in a column?;FROM;LIKE;GET;;Keine der genannten Antworten.;2;;
Which SQL statement is used to create a table in a database?;CREATE DATABASE TAB;CREATE DATABASE TABLE;CREATE DB;CREATE TABLE;Keine der genannten Antworten.;4;;
