Von welchen Grammatiken kann jede kontextsensitive Sprache erzeugt werden?;Von einer regulären Grammatik.;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;34;
Betrachte Bild 2. Was gilt für die Grammatik G?;G ist regulär.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;3;02_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Ist L regulär, so ist jede Teilmenge von L regulär.;Ist L endlich, so ist jede Teilmenge von L regulär.;Ist L die leere Menge, so ist L kontextsensitiv.;Ist L kontextfrei und endlich, so ist L auch regulär.;Keine der genannten Antworten.;234;
Welche der nachfolgenden Aussagen sind korrekt?;Mit dem Pumping Lemma für reguläre Sprachen kann gezeigt werden, dass eine Sprache regulär ist.;Das Pumping Lemma für reguläre Sprachen stellt eine notwendige, aber keine hinreichende Bedingung für reguläre Sprachen dar.;Mit dem Satz von Chomsky Schützenberger kann gezeigt werden, dass eine Sprache kontextfrei ist.;Mit dem Satz von Chomsky Schützenberger kann gezeigt werden, dass eine Sprache nicht kontextfrei ist.;Keine der genannten Antworten.;23;
Was trifft auf Turingmaschinen zu?;Turingmaschinen akzeptieren alle Wörter, die zu einem Endzustand führen.;Turingmaschinen können Symbole auf ein Band schreiben.;Turingmaschinen halten immer an, wenn ein Wort nicht in der Sprache liegt.;Turingmaschinen halten immer an, wenn ein Wort in der Sprache liegt.;Keine der genannten Antworten.;124;
Wann hält eine deterministische TM, beim Verarbeiten eines Wortes aus einer rekursiv aufzählbaren Sprache, an?;Immer!;Nur, wenn das Wort in der Sprache liegt.;Nur, wenn das Wort nicht in der Sprache liegt.;Nie!;Keine der genannten Antworten.;2;
Betrachte Bild 55. Welche der Antworten sind Variablen, die frei vorkommen?;h;x;y;z;Keine der genannten Antworten.;23;55_til.png
Betrachte Bild 75 und wähle alle korrekten Formalisierungen für die Aussage: Leila ist eine Professorin, die alle Studierenden kennt, die sie benotet.;1;2;3;4;Keine der genannten Antworten.;13;75_til.png
Betrachte Bild 76 und wähle alle korrekten Formalisierungen für die Aussage: Alle Mütter, aber nicht alle Väter, kennen alle ihre Kinder.;1;2;3;4;Keine der genannten Antworten.;1234;76_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Es gibt endlich viele PL-Formeln.;Jedes Problem lässt sich als eine PL-Formel beschreiben.;Wenn F eine gültige PL-Formel ist, dann gibt es immer einen Tableau-Beweis von F der Größe f(|F|).;Die Menge der gültigen PL-Formeln ist eine entscheidbare Sprache.;Keine der genannten Antworten.;5;
